"© Blast Motion. All rights reserved.","","","","","","","","","","","","","","","","","","",""
"NOTE:  Access to and use of this data is subject to the Blast Motion terms of use and end user license agreement, which can be found at https://blastmotion.com/terms-of-service/","","","","","","","","","","","","","","","","","","",""
"E-mail:","destefa1@canisius.edu","","","","","","","","","","","","","","","","","",""
"Academy:","Canisius Baseball","","","","","","","","","","","","","","","","","",""
"Report Date:","01/12/2020 06:55 PM","","","","","","","","","","","","","","","","","",""
"Date Range:","01/01/2019 - 01/12/2020","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Date","Equipment","Handedness","Swing Details","Plane Score","Connection Score","Rotation Score","Bat Speed (mph)","Rotational Acceleration (g)","On Plane Efficiency (%)","Attack Angle (deg)","Early Connection (deg)","Connection at Impact (deg)","Vertical Bat Angle (deg)","Power (kW)","Time to Contact (sec)","Peak Hand Speed (mph)","Exit Velocity (mph)","Launch Angle (deg)","Estimated Distance (feet)"
"January 06, 2020 / 4:59:39 PM","Rawlings - Quatro","Left","General Practice","31","43","59","68.7","16.5","48","8","110","92","-27","3.76","0.16","21.8","","",""
"January 06, 2020 / 4:59:39 PM","Rawlings - Quatro","Left","General Practice","31","43","59","68.7","16.5","48","8","110","92","-27","3.76","0.16","21.8","","",""
"January 06, 2020 / 4:59:33 PM","Rawlings - Quatro","Left","General Practice","31","26","56","66.9","15.4","47","8","126","100","-40","3.8","0.15","23.2","","",""
"January 06, 2020 / 4:59:26 PM","Rawlings - Quatro","Left","General Practice","32","37","52","69.2","13.6","49","8","116","94","-38","3.82","0.16","24.1","","",""
"January 06, 2020 / 4:59:10 PM","Rawlings - Quatro","Left","General Practice","28","33","69","62.6","20.8","45","5","115","101","-43","3.33","0.15","22.3","","",""
"January 06, 2020 / 4:59:03 PM","Rawlings - Quatro","Left","General Practice","20","24","47","60.4","11.6","33","15","128","101","-36","2.74","0.17","22.6","","",""
"January 06, 2020 / 4:58:57 PM","Rawlings - Quatro","Left","General Practice","37","38","58","66","16.1","53","7","117","93","-25","3.47","0.16","22.6","","",""
"January 06, 2020 / 4:58:51 PM","Rawlings - Quatro","Left","General Practice","36","27","60","67.7","16.9","52","6","123","102","-34","4.05","0.14","23","","",""
"January 06, 2020 / 4:58:42 PM","Rawlings - Quatro","Left","General Practice","40","52","65","69","19","57","3","102","93","-38","3.84","0.16","24","","",""
"January 06, 2020 / 4:58:36 PM","Rawlings - Quatro","Left","General Practice","39","36","80","69.3","26.3","56","-2","115","96","-42","4.5","0.14","23.9","","",""
"January 06, 2020 / 4:58:30 PM","Rawlings - Quatro","Left","General Practice","41","34","70","70","21.1","58","5","115","98","-39","4.28","0.15","22","","",""
"January 06, 2020 / 4:58:24 PM","Rawlings - Quatro","Left","General Practice","27","44","53","60.9","14","43","9","109","93","-34","3.11","0.15","21","","",""
"January 06, 2020 / 4:58:24 PM","Rawlings - Quatro","Left","General Practice","27","44","53","60.9","14","43","9","109","93","-34","3.11","0.15","21","","",""
"January 06, 2020 / 3:14:15 PM","Rawlings - Quatro","Left","General Practice","28","34","50","67.8","13.1","44","3","115","99","-34","3.81","0.15","20.7","","",""
"January 06, 2020 / 3:14:14 PM","Rawlings - Quatro","Left","General Practice","23","38","50","61.8","12.7","39","4","113","96","-31","3.25","0.15","22.5","","",""
"January 06, 2020 / 3:14:14 PM","Rawlings - Quatro","Left","General Practice","69","60","27","45","3.6","86","3","92","97","-40","1.22","0.21","23.4","","",""
"January 06, 2020 / 3:14:13 PM","Rawlings - Quatro","Left","General Practice","34","39","36","65.7","7.1","50","1","112","96","-31","3.72","0.15","23","","",""
"January 06, 2020 / 3:14:12 PM","Rawlings - Quatro","Left","General Practice","28","30","38","67.6","8","44","9","120","100","-34","3.94","0.15","23.3","","",""
"January 06, 2020 / 3:14:11 PM","Rawlings - Quatro","Left","General Practice","60","35","28","42.5","3.7","77","2","109","104","-39","0.99","0.23","21.5","","",""
"January 06, 2020 / 3:14:10 PM","Rawlings - Quatro","Left","General Practice","25","42","42","66.1","9.7","41","3","111","93","-32","3.48","0.16","23.2","","",""
"January 06, 2020 / 3:14:09 PM","Rawlings - Quatro","Left","General Practice","34","41","51","72.2","13.2","51","10","113","92","-32","4.26","0.16","22.9","","",""
"January 06, 2020 / 3:14:08 PM","Rawlings - Quatro","Left","General Practice","29","34","43","63.2","10.2","45","7","117","98","-36","3.18","0.16","22.5","","",""
"January 06, 2020 / 3:14:07 PM","Rawlings - Quatro","Left","General Practice","24","57","31","58.3","5.1","40","-4","98","93","-39","2.46","0.18","17.1","","",""
"January 06, 2020 / 3:14:06 PM","Rawlings - Quatro","Left","General Practice","27","55","34","58.5","6.3","44","-2","100","92","-42","2.45","0.18","17.7","","",""
"January 06, 2020 / 3:14:05 PM","Rawlings - Quatro","Left","General Practice","20","60","29","58.2","4.4","35","-1","97","93","-38","2.3","0.19","16.7","","",""
"January 06, 2020 / 3:14:05 PM","Rawlings - Quatro","Left","General Practice","37","36","49","63.1","12.3","54","2","114","98","-40","3.17","0.16","22","","",""
"January 06, 2020 / 3:14:04 PM","Rawlings - Quatro","Left","General Practice","35","41","56","72.8","15.3","52","4","112","94","-29","4.56","0.15","23.2","","",""
"January 06, 2020 / 3:14:03 PM","Rawlings - Quatro","Left","General Practice","31","38","38","65.2","7.8","48","1","110","99","-36","3.47","0.16","21.2","","",""
"January 06, 2020 / 3:14:02 PM","Rawlings - Quatro","Left","General Practice","26","30","42","64.8","9.5","42","5","121","99","-32","3.43","0.16","22.8","","",""
"January 06, 2020 / 3:14:01 PM","Rawlings - Quatro","Left","General Practice","57","30","33","44.1","5.9","73","4","116","105","-34","1.22","0.2","25.1","","",""
"January 06, 2020 / 3:14:00 PM","Rawlings - Quatro","Left","General Practice","57","20","27","43.2","3.4","74","0","129","113","-31","1.14","0.21","22.5","","",""
"January 06, 2020 / 3:13:59 PM","Rawlings - Quatro","Left","General Practice","39","21","26","42.5","2.9","55","2","123","113","-36","1.02","0.23","23.5","","",""
"January 06, 2020 / 3:13:58 PM","Rawlings - Quatro","Left","General Practice","46","20","27","42.8","3.3","63","7","126","111","-41","1.17","0.2","22.8","","",""
"January 06, 2020 / 3:13:43 PM","Rawlings - Quatro","Left","General Practice","41","40","46","68.7","11.3","58","4","111","95","-35","3.76","0.16","23","","",""
"January 06, 2020 / 3:13:42 PM","Rawlings - Quatro","Left","General Practice","41","36","33","65.3","5.9","58","0","114","98","-33","3.72","0.15","22.4","","",""
